"Tidsmerke","Have you signed the consent form?","How old are you?","Gender","Education","What is your occupation? If you are a student, please state the category most fitting to your study. Don't answer if you're not working.","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","Do you have any additional feedback on the contents of the videos? What is your general impression? Any feedback is welcome. Du kan skrive på norsk om du vil."
"2021/11/15 10:43:39 p.m. CET","Yes","45 - 54","Female","Master's degree","Children","Slightly satisfied","Very noticable","Moderately annoying","Very satisfied","Not at all noticable","Not at all annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Very noticable","Very annoying","Slightly satisfied","Very noticable","Moderately annoying","Very satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Slightly satisfied","Moderately noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying","Moderately satisfied","Moderately noticable","Moderately annoying",""
"2021/11/16 10:41:44 a.m. CET","Yes","35 - 44","Male","Some higher education, no degree","IT and computers","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Slightly annoying","Slightly satisfied","Very noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying","Very satisfied","Slightly noticable","Not at all annoying","Slightly satisfied","Extremely noticable","Very annoying","Not at all satisfied","Extremely noticable","Very annoying","Very satisfied","Slightly noticable","Not at all annoying","Slightly satisfied","Very noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Moderately satisfied","Very noticable","Moderately annoying","Imponerende teknologi. Ser at små detaljer er vanskeligere å trekke ut enn større. Eksperimentet med boken er også interessant. Siden denne er større en fingrene, burde det vært mindre klipping på den, men det kan ha med lys, farge og refleksjon i overflaten på boken. Uansett en veldig imponerende teknologi, da jeg regner med dette er gjort uten green-screen."
"2021/11/16 11:34:59 a.m. CET","Yes","18 - 24","Male","Some higher education, no degree","Electronics","Slightly satisfied","Very noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Slightly satisfied","Very noticable","Moderately annoying","Not at all satisfied","Extremely noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Very annoying","Not at all satisfied","Extremely noticable","Very annoying","Moderately satisfied","Moderately noticable","Not at all annoying","Moderately satisfied","Very noticable","Moderately annoying","Slightly satisfied","Very noticable","Moderately annoying","Slightly satisfied","Moderately noticable","Moderately annoying","Slightly satisfied","Moderately noticable","Moderately annoying",""
"2021/11/16 12:36:55 p.m. CET","Yes","25 - 34","Female","Master's degree","Industry","Moderately satisfied","Very noticable","Moderately annoying","Very satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Slightly satisfied","Extremely noticable","Very annoying","Very satisfied","Slightly noticable","Not at all annoying","Slightly satisfied","Very noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Slightly satisfied","Very noticable","Moderately annoying","Slightly satisfied","Very noticable","Moderately annoying","Generelt meir irriterande på dei videoane der bakgrunnen tidvis flimrar inn i bildet - veldig ""visuelt"" forstyrrande. 

Der det manglar ein finger eller to oppfattast som mindre irriterande, så lenge feilen ""vedvarer"" (ikkje blinkar/flimrar). Hjerna veit jo på ein måte at fingeren er der? 

PS.
Masse lykke til med vidare arbeid med masteren! Hang in there :-) 

"
"2021/11/16 1:02:34 p.m. CET","Yes","25 - 34","Male","Some higher education, no degree","IT and computers","Moderately satisfied","Very noticable","Moderately annoying","Very satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Very noticable","Moderately annoying","Slightly satisfied","Extremely noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Extremely noticable","Very annoying","Moderately satisfied","Very noticable","Moderately annoying","Very satisfied","Slightly noticable","Not at all annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Very satisfied","Moderately noticable","Moderately annoying","Very satisfied","Very noticable","Moderately annoying","Very satisfied","Very noticable","Slightly annoying",""
"2021/11/16 1:05:33 p.m. CET","Yes","18 - 24","Female","Master's degree","Technology","Slightly satisfied","Extremely noticable","Extremely annoying","Very satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Completely satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Completely satisfied","Slightly noticable","Not at all annoying","Not at all satisfied","Very noticable","Slightly annoying","Moderately satisfied","Very noticable","Very annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying",""
"2021/11/16 2:03:37 p.m. CET","Yes","18 - 24","Female","Bachelor's degree","Sales and service","Not at all satisfied","Extremely noticable","Extremely annoying","Slightly satisfied","Slightly noticable","Very annoying","Not at all satisfied","Very noticable","Very annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Completely satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Slightly satisfied","Slightly noticable","Slightly annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Very noticable","Very annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Det var mykje lik kvalitet på videoane. Eg var stort sett ikkje fornøgd med nåken av dei."
"2021/11/16 2:10:08 p.m. CET","Yes","18 - 24","Female","Bachelor's degree","Pedagogy","Slightly satisfied","Very noticable","Extremely annoying","Slightly satisfied","Very noticable","Very annoying","Slightly satisfied","Moderately noticable","Moderately annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Very satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Slightly satisfied","Very noticable","Very annoying","Slightly satisfied","Very noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying",""
"2021/11/16 6:07:15 p.m. CET","Yes","25 - 34","Female","Master's degree","Electronics","Moderately satisfied","Moderately noticable","Very annoying","Very satisfied","Slightly noticable","Not at all annoying","Very satisfied","Slightly noticable","Slightly annoying","Slightly satisfied","Very noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Completely satisfied","Not at all noticable","Not at all annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Veldig bra! Mest minus til det som forsvinner, feks hvis man skal vise frem forsiden av en bok og den blir ""filtrert bort"". Ikke like farlig/annoying med litt artefacts som henger igjen etter bevegelse. "
"2021/11/16 7:37:25 p.m. CET","Yes","18 - 24","Female","Some higher education, no degree","Health","Slightly satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying","Not at all satisfied","Extremely noticable","Very annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Not at all satisfied","Very noticable","Very annoying","Not at all satisfied","Very noticable","Very annoying","Slightly satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Very noticable","Slightly annoying","Moderately satisfied","Very noticable","Moderately annoying","Slightly satisfied","Very noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying","usikker på om eg skjønte spørsmåla, men trur det :) "
