filename,Iou,DC,PA,TP,TN,FPN
FG_Showing-Object_BG_Window_fg_0.jpg,0.9591992011032384,0.9791747572815535,0.9954484953703704,221881,1842281,9438
FG_Showing-Object_BG_Window_fg_1.jpg,0.9589335839977233,0.9790363408245472,0.9954070216049383,222393,1841683,9524
FG_Showing-Object_BG_Window_fg_2.jpg,0.946527909339855,0.9725295021953836,0.9940108989197531,219833,1841348,12419
FG_Showing-Object_BG_Window_fg_3.jpg,0.9494848901098901,0.9740879705473057,0.9943248456790124,221192,1840640,11768
FG_Showing-Object_BG_Window_fg_4.jpg,0.9463682720512996,0.9724452310907342,0.9939337384259259,221965,1839056,12579
FG_Showing-Object_BG_Window_fg_5.jpg,0.9467318109399894,0.9726371199357503,0.9939535108024692,222837,1838225,12538
FG_Showing-Object_BG_Window_fg_6.jpg,0.9547230677397095,0.9768371627636006,0.9948423032407407,225518,1837387,10695
FG_Showing-Object_BG_Window_fg_7.jpg,0.9536967854956837,0.9762996925377198,0.9947101658950618,225926,1836705,10969
FG_Showing-Object_BG_Window_fg_8.jpg,0.9543183200822337,0.9766252613771516,0.9947492283950617,227457,1835255,10888
FG_Showing-Object_BG_Window_fg_9.jpg,0.9432014273986832,0.970770620173251,0.9934601658950617,225195,1834844,13561
FG_Showing-Object_BG_Window_fg_10.jpg,0.9548684183110037,0.9769132381155404,0.994777199074074,229135,1833635,10830
FG_Showing-Object_BG_Window_fg_11.jpg,0.9542518747867196,0.9765904662528349,0.9946985918209876,229301,1833306,10993
FG_Showing-Object_BG_Window_fg_12.jpg,0.9551600889799795,0.9770658621394968,0.9948090277777778,229290,1833546,10764
FG_Showing-Object_BG_Window_fg_13.jpg,0.952864180271939,0.9758632370831353,0.9945365547839506,229019,1833252,11329
FG_Showing-Object_BG_Window_fg_14.jpg,0.9513384519609878,0.975062476737385,0.9943455825617284,229225,1832650,11725
FG_Showing-Object_BG_Window_fg_15.jpg,0.9494956625735536,0.9740936395007029,0.994134837962963,228649,1832789,12162
FG_Showing-Object_BG_Window_fg_16.jpg,0.9512624146428482,0.9750225366965455,0.9943344907407408,229298,1832554,11748
FG_Showing-Object_BG_Window_fg_17.jpg,0.9522753419138871,0.9755543405883891,0.9944584297839506,229286,1832823,11491
FG_Showing-Object_BG_Window_fg_18.jpg,0.9526711413850608,0.975761992067252,0.994497974537037,229649,1832542,11409
FG_Showing-Object_BG_Window_fg_19.jpg,0.9513513289139973,0.9750692402925323,0.9943479938271605,229191,1832689,11720
FG_Showing-Object_BG_Window_fg_20.jpg,0.952792189494273,0.9758254817078347,0.9945061728395062,229924,1832284,11392
FG_Showing-Object_BG_Window_fg_21.jpg,0.954008494823467,0.9764629962979315,0.9946527777777778,230000,1832512,11088
FG_Showing-Object_BG_Window_fg_22.jpg,0.9532221863327287,0.9760509510927178,0.9945524691358024,230186,1832118,11296
FG_Showing-Object_BG_Window_fg_23.jpg,0.9543358163146806,0.9766344231609954,0.9946903935185185,230098,1832492,11010
FG_Showing-Object_BG_Window_fg_24.jpg,0.9564837905236908,0.9777579504174367,0.9949508101851852,230130,1833000,10470
FG_Showing-Object_BG_Window_fg_25.jpg,0.9544438757038165,0.9766910040945647,0.994720775462963,229350,1833303,10947
FG_Showing-Object_BG_Window_fg_26.jpg,0.955246509734528,0.9771110752313537,0.9948042052469136,229967,1832859,10774
FG_Showing-Object_BG_Window_fg_27.jpg,0.9567543079442399,0.9778992733629426,0.9949821566358025,230197,1832998,10405
FG_Showing-Object_BG_Window_fg_28.jpg,0.954058199303598,0.9764890315381728,0.9946551890432099,230157,1832360,11083
FG_Showing-Object_BG_Window_fg_29.jpg,0.9167741559662803,0.9565802555430616,0.9903539737654321,220332,1833266,20002
FG_Showing-Object_BG_Window_fg_30.jpg,0.9466908175431745,0.9726154857379435,0.9938117283950617,227877,1832891,12832
FG_Showing-Object_BG_Window_fg_31.jpg,0.9559317081315746,0.9774694117973464,0.9949088541666666,229003,1834040,10557
